"model","n","term","estimate","se","p"
"Ratio only",123,"(Intercept)",0.241874936447701,0.244987778851212,0.32349858658764
"Ratio only",123,"logratio",-0.0866220122001238,0.18695982774613,0.643135836999992
"Plus original t",123,"(Intercept)",-0.696020718518198,0.56196352293858,0.215511668879976
"Plus original t",123,"logratio",-0.425598778452532,0.266593253572945,0.110391725786575
"Plus original t",123,"abs_t",0.347968047031817,0.170919870622656,0.0417649330398625
"Plus naive target",123,"(Intercept)",1.80364152897293,1.21666312997537,0.138220757416058
"Plus naive target",123,"logratio",-0.252391356509254,0.216851608531224,0.244468708801111
"Plus naive target",123,"logNnaive",-0.322325365648661,0.23247968883054,0.165604417203488
"Full controls",123,"(Intercept)",0.281208773582775,1.80327831097029,0.876077887884291
"Full controls",123,"logratio",-0.485841594406701,0.259062269172103,0.0607397237561185
"Full controls",123,"abs_t",0.313738379882882,0.181377078951357,0.083673593650603
"Full controls",123,"logNnaive",-0.182289731870006,0.293736642524189,0.534870073174545
