"claim_id","orig_conv_r","orig_sample_size_value","orig_stat_type","orig_stat_value","orig_stat_dof_1","paper_id","repli_type","repli_sample_size_value","repli_conv_r","repli_score_criteria_met","t_from_stat","t_from_r","t_orig","abs_t","t_source","discipline","safeguard_defined","markup_approx","r_sg","N_naive","N_safeguard","markup","ratio_obs_safeguard"
"0qar_single-trace",0.376583421066466,43,"t",2.634483,NA,"0qar","new data",127,0.00731157824858961,FALSE,2.634483,2.60293116719653,2.634483,2.634483,"direct_stat","psychology and health",TRUE,2.15922146706924,0.256278752795284,53,117,2.20754716981132,1.08547008547009
"0wWk_single-trace",-0.121488416475355,217504,"z",-27.23926,NA,"0wWk","secondary data",319719,-0.109040209815738,TRUE,-27.23926,-57.0814972966258,-27.23926,27.23926,"direct_stat","political science",TRUE,1.06478137775618,-0.117734745085647,529,564,1.06616257088847,566.877659574468
"1574_single-trace",0.573546348617737,157,"chi_squared",51.646,NA,"1574","new data",198,0.697565292994517,TRUE,NA,8.71683208118627,8.71683208118627,8.71683208118627,"r_conversion","economics and finance",TRUE,1.22516048017029,0.518169718560042,21,27,1.28571428571429,7.33333333333333
"1VeW_single-trace",0.657411980257235,14,"z",3.334512,NA,"1VeW","new data",32,0.0758085689763753,FALSE,3.334512,3.02222583983522,3.334512,3.334512,"direct_stat","economics and finance",TRUE,1.78919662939632,0.491483088176563,15,30,2,1.06666666666667
"1X9W_single-trace",0.279999967414749,62,"t",2.25924,60,"1X9W","new data",545,-0.11201578830889,FALSE,2.25924,2.25924,2.25924,2.25924,"direct_stat","psychology and health",TRUE,2.53983690715312,0.175693245695951,97,252,2.5979381443299,2.16269841269841
"2GKO_single-trace",0.188468793276488,189,"z",2.638298,NA,"2GKO","secondary data",256,-0.168732979192426,FALSE,2.638298,2.62430162539877,2.638298,2.638298,"direct_stat","economics and finance",TRUE,2.15629309851348,0.128346950221853,218,474,2.1743119266055,0.540084388185654
"2lb5_single-trace",0.199674088073175,575,"t",4.8821664,574,"2lb5","secondary data",493,0.49518296281841,TRUE,4.8821664,4.87791178795004,4.8821664,4.8821664,"direct_stat","economics and finance",TRUE,1.45997434179805,0.165252903183472,194,285,1.46907216494845,1.72982456140351
"347d_single-trace",-0.401536214943313,181,"t",-5.75,172,"347d","new data",105,-0.3376624031199,TRUE,-5.75,-5.86583897328124,-5.75,5.75,"direct_stat","business",TRUE,1.3723331428667,-0.342763796761611,46,64,1.39130434782609,1.640625
"4q0L_single-trace",0.215484454919733,350,"t",3.731844,286,"4q0L","secondary data",150,0.206580480169483,TRUE,3.731844,4.11651864033348,3.731844,3.731844,"direct_stat","sociology and criminology",TRUE,1.66718704329722,0.16688748978257,166,279,1.68072289156627,0.53763440860215
"521q_single-trace",-0.173664496601946,225,"z",-2.645161,NA,"521q","new data",722,-0.013768668868103,FALSE,-2.645161,-2.63337848708155,-2.645161,2.645161,"direct_stat","psychology and health",TRUE,2.15106124920549,-0.11840898366419,258,557,2.15891472868217,1.29622980251347
