"rho","median_N","selected","rep","retained","solver_excluded"
0.1,100,FALSE,1,116,0
0.1,100,FALSE,2,113,0
0.1,100,FALSE,3,121,0
0.1,100,FALSE,4,120,0
0.1,100,FALSE,5,122,0
0.1,100,FALSE,6,129,0
0.1,100,FALSE,7,123,0
0.1,100,FALSE,8,132,0
0.1,100,FALSE,9,117,0
0.1,100,FALSE,10,123,0
0.1,100,FALSE,11,136,0
0.1,100,FALSE,12,122,0
0.1,100,FALSE,13,124,0
0.1,100,FALSE,14,116,1
0.1,100,FALSE,15,122,0
0.1,100,FALSE,16,117,0
0.1,100,FALSE,17,123,0
0.1,100,FALSE,18,110,0
0.1,100,FALSE,19,121,0
0.1,100,FALSE,20,128,0
0.1,100,FALSE,21,126,0
0.1,100,FALSE,22,129,0
0.1,100,FALSE,23,120,0
0.1,100,FALSE,24,126,0
0.1,100,FALSE,25,133,0
0.1,100,FALSE,26,133,0
0.1,100,FALSE,27,130,0
0.1,100,FALSE,28,120,0
0.1,100,FALSE,29,122,0
0.1,100,FALSE,30,137,0
0.1,100,FALSE,31,126,0
0.1,100,FALSE,32,131,0
0.1,100,FALSE,33,132,0
0.1,100,FALSE,34,125,0
0.1,100,FALSE,35,117,0
0.1,100,FALSE,36,118,0
0.1,100,FALSE,37,120,0
0.1,100,FALSE,38,135,0
0.1,100,FALSE,39,115,0
0.1,100,FALSE,40,127,0
0.1,100,FALSE,41,116,0
0.1,100,FALSE,42,133,0
0.1,100,FALSE,43,124,0
0.1,100,FALSE,44,117,0
0.1,100,FALSE,45,127,0
0.1,100,FALSE,46,110,0
0.1,100,FALSE,47,125,0
0.1,100,FALSE,48,123,0
0.1,100,FALSE,49,119,0
0.1,100,FALSE,50,122,0
0.1,100,FALSE,51,114,0
0.1,100,FALSE,52,122,0
0.1,100,FALSE,53,122,0
0.1,100,FALSE,54,122,1
0.1,100,FALSE,55,116,0
0.1,100,FALSE,56,121,0
0.1,100,FALSE,57,121,0
0.1,100,FALSE,58,121,0
0.1,100,FALSE,59,117,0
0.1,100,FALSE,60,111,0
0.1,100,FALSE,61,121,0
0.1,100,FALSE,62,122,0
0.1,100,FALSE,63,122,0
0.1,100,FALSE,64,121,0
0.1,100,FALSE,65,123,1
0.1,100,FALSE,66,117,0
0.1,100,FALSE,67,109,0
0.1,100,FALSE,68,125,0
0.1,100,FALSE,69,113,0
0.1,100,FALSE,70,119,0
0.1,100,FALSE,71,121,0
0.1,100,FALSE,72,128,0
0.1,100,FALSE,73,136,0
0.1,100,FALSE,74,110,0
0.1,100,FALSE,75,119,0
0.1,100,FALSE,76,112,0
0.1,100,FALSE,77,112,0
0.1,100,FALSE,78,121,0
0.1,100,FALSE,79,124,0
0.1,100,FALSE,80,130,0
0.1,100,FALSE,81,122,0
0.1,100,FALSE,82,131,0
0.1,100,FALSE,83,122,0
0.1,100,FALSE,84,139,0
0.1,100,FALSE,85,117,0
0.1,100,FALSE,86,130,0
0.1,100,FALSE,87,128,0
0.1,100,FALSE,88,124,0
0.1,100,FALSE,89,127,0
0.1,100,FALSE,90,126,0
0.1,100,FALSE,91,133,0
0.1,100,FALSE,92,127,0
0.1,100,FALSE,93,131,0
0.1,100,FALSE,94,119,0
0.1,100,FALSE,95,115,0
0.1,100,FALSE,96,124,0
0.1,100,FALSE,97,117,0
0.1,100,FALSE,98,115,0
0.1,100,FALSE,99,125,1
0.1,100,FALSE,100,133,0
0.3,100,FALSE,1,188,0
0.3,100,FALSE,2,191,0
0.3,100,FALSE,3,197,0
0.3,100,FALSE,4,189,0
0.3,100,FALSE,5,191,0
0.3,100,FALSE,6,193,0
0.3,100,FALSE,7,189,0
0.3,100,FALSE,8,193,0
0.3,100,FALSE,9,188,0
0.3,100,FALSE,10,193,0
0.3,100,FALSE,11,197,0
0.3,100,FALSE,12,191,0
0.3,100,FALSE,13,192,0
0.3,100,FALSE,14,197,0
0.3,100,FALSE,15,194,0
0.3,100,FALSE,16,191,0
0.3,100,FALSE,17,193,0
0.3,100,FALSE,18,190,0
0.3,100,FALSE,19,195,0
0.3,100,FALSE,20,191,0
0.3,100,FALSE,21,189,0
0.3,100,FALSE,22,188,0
0.3,100,FALSE,23,194,0
0.3,100,FALSE,24,191,0
0.3,100,FALSE,25,194,0
0.3,100,FALSE,26,190,0
0.3,100,FALSE,27,194,0
0.3,100,FALSE,28,197,0
0.3,100,FALSE,29,188,0
0.3,100,FALSE,30,190,0
0.3,100,FALSE,31,187,0
0.3,100,FALSE,32,193,0
0.3,100,FALSE,33,186,0
0.3,100,FALSE,34,192,0
0.3,100,FALSE,35,191,0
0.3,100,FALSE,36,197,0
0.3,100,FALSE,37,190,0
0.3,100,FALSE,38,192,0
0.3,100,FALSE,39,186,0
0.3,100,FALSE,40,188,0
0.3,100,FALSE,41,181,0
0.3,100,FALSE,42,191,0
0.3,100,FALSE,43,190,0
0.3,100,FALSE,44,190,0
0.3,100,FALSE,45,195,0
0.3,100,FALSE,46,196,0
0.3,100,FALSE,47,190,0
0.3,100,FALSE,48,193,0
0.3,100,FALSE,49,189,0
0.3,100,FALSE,50,188,0
0.3,100,FALSE,51,192,0
