"rho","median_N","selected","rep","rule","n","portfolio","conditioned","condition_number","attainment","median_ratio"
0.1,100,FALSE,1,"point",116,0.00141096785262907,0.0154928282067211,62.600391708631,0,0.227956842831814
0.1,100,FALSE,1,"safeguard",116,1.00139523701148,1.015645671262,62.600391708631,0.525862068965517,1.00640468164247
0.1,100,FALSE,1,"original_size",116,-0.288659131046324,0.0156931406049794,62.600391708631,0.0603448275862069,0.147137817596542
0.1,100,FALSE,1,"capped_safeguard",116,-0.0228491167222982,-0.0933538380818686,62.600391708631,0.103448275862069,0.352737195863671
0.1,100,FALSE,2,"point",113,-0.0250519576305456,-0.0204241409333642,59.610596411535,0,0.233514352211016
0.1,100,FALSE,2,"safeguard",113,0.974928331841012,0.97941649611368,59.610596411535,0.575221238938053,1.03788903924222
0.1,100,FALSE,2,"original_size",113,-0.395515912592998,-0.0196908229314788,59.610596411535,0.079646017699115,0.168023686158401
0.1,100,FALSE,2,"capped_safeguard",113,-0.0104071918111817,-0.159404906082075,59.610596411535,0.115044247787611,0.369276218611521
0.1,100,FALSE,3,"point",121,-0.0138755992021727,-0.00858148394465514,64.1531887548861,0,0.22280630812778
0.1,100,FALSE,3,"safeguard",121,0.986049563200544,0.991605951097084,64.1531887548861,0.520661157024793,1.01188037689472
0.1,100,FALSE,3,"original_size",121,-0.437791204078926,-0.00771081797982118,64.1531887548861,0.0909090909090909,0.136744966442953
0.1,100,FALSE,3,"capped_safeguard",121,-0.00996208147506307,-0.151704211856332,64.1531887548861,0.0991735537190083,0.32488628979857
0.1,100,FALSE,4,"point",120,-0.00992558755244045,0.0161469215673265,64.9957310725414,0,0.236260909118637
0.1,100,FALSE,4,"safeguard",120,0.99002521189275,1.01633724424291,64.9957310725414,0.566666666666667,1.02182028622813
0.1,100,FALSE,4,"original_size",120,-0.475888163215456,0.015995214476878,64.9957310725414,0.1,0.164567566443829
0.1,100,FALSE,4,"capped_safeguard",120,0.00741407471254954,-0.0837504549327987,64.9957310725414,0.116666666666667,0.351826262507473
0.1,100,FALSE,5,"point",122,0.00545818869656203,-0.00705402830822497,66.1919428092555,0,0.227903916835215
0.1,100,FALSE,5,"safeguard",122,1.00544051506816,0.99284405325164,66.1919428092555,0.475409836065574,0.978344800178833
